"P1","P2","P3","P4","Hypothesis","GoldLabel"
"one of them has red paint on a scary expression.","one of them has red paint on his face.","A crowd of people walks down the street.","one of them has red paint on his face.","a group of people is walking down the street.","entailment"
"Several workers wearing hard hats.","Several workers wearing bright yellow shirts.","Several workers standing around.","Several workers standing around.","Workers are having their lunch in the canteen","contradiction"
"a besuited woman with a red purse walk down a city street.","Two men in suits walk down a city street.","one carrying a briefcase.","a besuited woman with a red purse walk down a city street.","Three people are dancing at a club.","contradiction"
"A man in pants sitting on a weaving something.","A man in pants sitting on a chair something.","A man in a tattered shirt sitting on a weaving something.","A man in pants sitting on a chair something.","the man is a basket maker","neutral"
"The street vendors are selling jam.","The street vendors are selling wine.","The street vendors are selling flowers.","The street vendors are selling wine.","Vendors sell sports equipment.","contradiction"
"stone statues wearing goblin mask.","Three people wearing a monkey.","Three people sitting in front of stone statues.","Three people sitting in front of stone statues.","lone boy cries","contradiction"
"a house being built in the background.","A boy looking into a house.","A boy looking into the camera.","a house being built in the background.","A girl peering into the camera lens as construction workers tear down a building in the background.","contradiction"
"The tennis player is wearing a blue shirt.","The tennis player is wearing a yellow shirt.","The tennis player is wearing a blue headband.","The tennis player is wearing a yellow shirt.","A tennis player wears a handband to keep the hair out of his eyes.","neutral"
"A young shirtless man in black shorts stands on a snowy cliff.","A young shirtless man in red shorts stands on a snowy cliff.","A young shirtless man looks out over the lake.","A young shirtless man in red shorts stands on a snowy cliff.","The woman in white is sleeping.","contradiction"
"other men in orange hard hats stand atop a platform.","a platform overlooking the wide open vista.","Cameramen stand atop a platform.","Cameramen stand atop a platform.","The cameraman and the other men are outdoors.","entailment"
"A young boy with flower on his face mixes dough in a striped an apron.","A young boy with flower on his face mixes dough in a striped overalls.","A young boy with flower on his face mixes dough in a striped shirt.","A young boy with flower on his face mixes dough in a striped an apron.","This boy plays a video game.","contradiction"
"a shiny black counter wearing purple shirts.","a shiny black counter wearing matching black suits.","Two men sit behind a shiny black counter.","a shiny black counter wearing matching black suits.","Men are sitting","entailment"
"An older man sits beside him on the floor.","An older man reading a tabloid in front of an Uncle Sam poster as a hanging plant.","An older man sits on a subway or bus.","An older man sits beside him on the floor.","A man reads a paper as he takes his long ride to work.","neutral"
"one man in a black shirt holds his signals to the camera.","one man in a black shirt holds his arm to the camera.","A group of people gather in a bar.","one man in a black shirt holds his arm to the camera.","A man takes a photograph of himself.","contradiction"
"A man in a white graphic tee stands near a woman in a black shirt with a scarf.","A man in a green hat stands near a woman in a black shirt with a scarf.","A man watches a woman in a gray shirt dance.","A man watches a woman in a gray shirt dance.","The man enjoys watching this woman.","neutral"
"A white - haired man lays down his hat.","A white - haired man lays down his cane.","A white - haired man rests next to a tree.","A white - haired man lays down his cane.","A young boy leans against a tree.","contradiction"
"A young boy with flower on his face mixes dough in a striped an apron.","A young boy with flower on his face mixes dough in a striped overalls.","A young boy with flower on his face mixes dough in a striped shirt.","A young boy with flower on his face mixes dough in a striped an apron.","A little boy is mixing ingredients with an apron on","entailment"
"various people lying on the ground.","A group of people staring at various people.","A group of people are standing outside.","A group of people are standing outside.","The people laying down are sick.","neutral"
"a baby boy vacuuming his carpet.","a baby boy vacuuming his house.","Here is a picture of a baby boy.","Here is a picture of a baby boy.","The baby boy is made out of a vacuum.","contradiction"
"an infant being held by the male.","A couple sitting next to a pond with a nearby stroller.","A couple being held by the male.","A couple sitting next to a pond with a nearby stroller.","The family is enjoying a rest in the park.","neutral"
"A biker rider to be higher than an electric pole.","A biker rider seems .","A biker rider jumping high over a dirt hill.","A biker rider seems .","A biker rider cant jump because he fears heights.","contradiction"
"A little boy is sitting with a fishing pole.","A little boy is sitting on a dock.","he is fishing at a lake.","A little boy is sitting with a fishing pole.","The little boy is out on a boat.","contradiction"
"a dog with brown coloring is leashed up to a mirror.","a dog with white coloring is leashed up to a mirror.","a dog with black coloring is leashed up to a mirror.","a dog with brown coloring is leashed up to a mirror.","The dog is running around freely.","contradiction"
"A young boy wearing hat.","A young boy sits on a red curb at the edge of wide wooden planks.","A young boy wearing a colorful outfit.","A young boy sits on a red curb at the edge of wide wooden planks.","The boy was dressed in all black.","contradiction"
"An old man with a mustache holding a smiling.","An old man with a mustache holding a gun.","An old man with a mustache is sitting down .","An old man with a mustache holding a smiling.","The man is wearing a cowboy hat.","neutral"
"people walking on the sidewalk.","people crossing the street.","The picture is of a downtown area with people.","people walking on the sidewalk.","People on their way to work.","neutral"
"they are wearing Winter coats.","a fountain engulfed in lights.","Two men meet by a fountain.","a fountain engulfed in lights.","Two men are outside at a festival.","neutral"
"Two military woman stand on the side of the road in white hats.","Two military woman looking at something in the distance.","Two military woman stand on the side of the road in blue uniforms.","Two military woman looking at something in the distance.","Naked women ride dogs to the army surplus store.","contradiction"
"a cow which is being made to stand between iron railings.","a cow is being made to stand between iron railings with a rubber hose.","A young man bathing a cow which is being made.","a cow which is being made to stand between iron railings.","The cow is being bathed because it fell in poop.","neutral"
"A woman in a black leather jacket is looking at vegetables.","vegetables being sold on the street.","A woman in a patterned skirt is looking at vegetables.","A woman in a black leather jacket is looking at vegetables.","a lady with a black jacket inspects veg","entailment"
"A guy two people playing a game.","A guy two people are sitting on a couch.","A guy playing a guitar.","A guy two people playing a game.","The people are playing the flute and talking on the couch.","contradiction"
"One male looking aimlessly forward amidst the colorful printed fabrics in the background with a pile of grain in front of him.","One male looking aimlessly forward amidst the colorful solid fabrics in the background with a pile of grain in front of him.","One male is sitting in a marketplace.","One male looking aimlessly forward amidst the colorful solid fabrics in the background with a pile of grain in front of him.","THe man is riding on a paddle boat.","contradiction"
"Two women floating on paddling themselves with a third person in the background.","Two women floating on the water.","Two women are standing on boards.","Two women are standing on boards.","People are on the water.","entailment"
"A woman in a blue shirt with a blue bag passes by a large yard sale with children within.","A woman in a blue shirt with a blue bag passes by a large yard sale with adults within.","A woman in a blue shirt with a blue bag passes by a large yard sale with colorful clothes within.","A woman in a blue shirt with a blue bag passes by a large yard sale with children within.","Mcdonalds Drive threw","contradiction"
"the ball flying .","the ball is sent .","One football player is tackling another.","One football player is tackling another.","Players playing football game.","entailment"
"A woman in a black leather jacket is looking at vegetables.","vegetables being sold on the street.","A woman in a patterned skirt is looking at vegetables.","A woman in a black leather jacket is looking at vegetables.","a woman picks fruit from a tree","contradiction"
"A group of people in white - collared shirts are playing drums.","A group of people in black vests are playing drums.","A group of people in plaid skirts are playing drums.","A group of people in plaid skirts are playing drums.","The people playing the drums are from an improv troupe.","neutral"
"a small boy are playing in an outdoor water feature.","A woman are playing in an outdoor water feature.","A man are playing in an outdoor water feature.","A man are playing in an outdoor water feature.","a family plays with an outdoor water toy","entailment"
"man pose in front of a scenic background.","a woman pose in front of a scenic background.","A family of two young boys pose in front of a scenic background.","A family of two young boys pose in front of a scenic background.","A family is posing for a photo.","neutral"
"Three Indian men are sitting together with baskets of fresh herbs in baskets at their feet.","Three Indian men are sitting together with baskets of fresh vegetables.","Three Indian men are sitting together with baskets of fresh fruit.","Three Indian men are sitting together with baskets of fresh fruit.","The woman held the basket.","contradiction"
"another fireman walking towards the smoke.","A fire engine sits near a cloud of thick smoke with one fireman on top of another fireman.","A fire engine sits near a cloud of thick smoke with one fireman on top of the truck.","A fire engine sits near a cloud of thick smoke with one fireman on top of another fireman.","Two male firemen dressed in yellow prepare to fight a forest fire.","neutral"
"A young dreadlocked woman playing acoustic guitar.","A young dreadlocked woman singing .","A young dreadlocked woman is on stage.","A young dreadlocked woman playing acoustic guitar.","A woman performs classic rock songs for the audience.","neutral"
"A man wears hat at an outdoor gathering.","A man wears shirt at an outdoor gathering.","A man wears American flag shorts.","A man wears American flag shorts.","Everyone is inside.","contradiction"
"another dog chasing it.","A black dog running with another dog.","A black dog running with a stuffed bird in its mouth.","another dog chasing it.","The two dogs are running.","entailment"
"A young man with no shirt on is wearing sneakers.","A young man with no shirt on is jumping over a blue skateboard.","A young man with no shirt on is wearing black pants.","A young man with no shirt on is wearing sneakers.","a man on a bike","contradiction"
"The man is wearing a smiling.","The man is wearing a black hat.","The man is wearing a black shirt.","The man is wearing a black shirt.","The man has a smile on his face.","entailment"
"the other is standing .","one is sitting .","Two baseball players talk .","the other is standing .","A baseball player brags while another one sits and rolls his eyes.","neutral"
"The football players wear white jerseys.","The football players wear gold helmets.","The football players wear purple pants.","The football players wear white jerseys.","The people are racing cars.","contradiction"
"woman walk hand in hand down a sidewalk near a street.","a street called End.","A man walk hand in hand down a sidewalk near a street.","woman walk hand in hand down a sidewalk near a street.","The men walk down the street.","contradiction"
"Six women in a dressing room talking in front of mirrors.","Six women in a dressing room applying makeup.","Six women in a dressing room are sitting down.","Six women in a dressing room talking in front of mirrors.","Several women are putting on make up","entailment"
"A group of individuals gathered around wieners on a grill.","A group of individuals are drinking an assortment of beverages.","A group of individuals gathered around a pit fire on a grill.","A group of individuals gathered around wieners on a grill.","A group of people are eating dinner on a camping trip.","neutral"
"A man carries bouquets of a box of suckers.","A man carries bouquets of a box of cigarettes.","A man carries bouquets of flowers.","A man carries bouquets of a box of suckers.","A male is walking carrying something.","entailment"
"blue jeans is the center of attention.","A black man in a white shirt is the center of attention of a medium sized crowd.","a white shirt tucked to blue jeans.","a white shirt tucked to blue jeans.","The man has exciting news to share with the crowd.","neutral"
"a train wearing a black hat.","a train wearing a black jacket.","Man hanging out of the window of a train.","Man hanging out of the window of a train.","The man is the copilot of the airplane.","contradiction"
"A person in a blue life jacket paddles a yellow kayak.","A person in a blue helmet paddles a yellow kayak.","A person in a blue shirt paddles a yellow kayak.","A person in a blue life jacket paddles a yellow kayak.","A person is river rafting.","neutral"
"A middle - aged woman carrying a container of cones.","A middle - aged woman carrying a container of ice cream.","A middle - aged woman wearing an apron.","A middle - aged woman wearing an apron.","A man is carrying a birthday cake.","contradiction"
"an adult watching with amazement.","another boy running as an adult.","A little boy in the bowling alley jumping for joy.","A little boy in the bowling alley jumping for joy.","One boy is excited and the other boy is running.","entailment"
"umpire are at first base during a baseball game.","catcher are at first base during a baseball game.","A batter are at first base during a baseball game.","A batter are at first base during a baseball game.","One team is in yellow, one is blue.","neutral"
"a dirt path surrounded by trees.","a dirt path surrounded by grass.","A white dog rushes down a dirt path.","a dirt path surrounded by grass.","A white dog is playing in the living room.","contradiction"
"A little boy gets milk all over his table.","A little boy gets milk all over his face.","A little boy drinks milk.","A little boy gets milk all over his table.","the dog eats mice","contradiction"
"one wearing shin guards lay horizontally on logs with their backpacks in sight.","Two men lay horizontally on logs with their backpacks in sight.","one wearing a teal shirt.","one wearing shin guards lay horizontally on logs with their backpacks in sight.","Two men are jumping in a river","contradiction"
"Three boys listening to someone or something.","Three boys watching .","Three boys are sitting down .","Three boys are sitting down .","The girls are knitting sweaters.","contradiction"
"A man carries bouquets of a box of suckers.","A man carries bouquets of a box of cigarettes.","A man carries bouquets of flowers.","A man carries bouquets of a box of cigarettes.","Two boys with heavy coats are skiing.","contradiction"
"A woman with shiny decorations in her hair is waving orange scarves.","A woman with shiny decorations in her hair is waving blue scarves.","A woman with shiny decorations in her hair is waving around purple scarves.","A woman with shiny decorations in her hair is waving around purple scarves.","A woman waves colorful cloths around.","entailment"
"The street vendors are selling jam.","The street vendors are selling wine.","The street vendors are selling flowers.","The street vendors are selling wine.","Vendors sell things.","entailment"
"a man wearing a tan pants.","a man wearing a green shirt.","a closeup blurred image of a man.","a man wearing a tan pants.","A man wears a green tank top and tan dress pants.","neutral"
"An older man sits beside him on the floor.","An older man reading a tabloid in front of an Uncle Sam poster as a hanging plant.","An older man sits on a subway or bus.","An older man sits beside him on the floor.","A old man sits in a mass-transit vehicle.","entailment"
"Two men in baseball hats selling other vegetables from an outdoor stand to a woman.","a woman carrying a green bag.","baseball hats selling asparagus from an outdoor stand to a woman.","a woman carrying a green bag.","The men are farm hands.","neutral"
"a ball kicked by a man dress in blue.","a ball kicked by a man dress in white.","A goalie dressed in yellow blocks.","a ball kicked by a man dress in white.","The players are standing in the middle of the field.","contradiction"
"An older lady in a black hat sits on a bench in front of an ancient - looking wall.","An older lady in a leather jacket sits on a bench in front of an ancient - looking wall.","An older lady in a colorful dress sits on a bench in front of an ancient - looking wall.","An older lady in a colorful dress sits on a bench in front of an ancient - looking wall.","the lady is a presenter","contradiction"
"A brown dog runs in a field.","A black dog runs in a field.","A white dog runs in a field.","A white dog runs in a field.","Three dogs run together.","entailment"
"Several men in face masks work in an area under construction.","Several men in helmets work in an area under construction.","Several men in red reflective vests work in an area under construction.","Several men in helmets work in an area under construction.","a construction worker works alone","contradiction"
"young boys dressed in shirts.","A pair of young boys are playing table tennis.","young boys dressed in shorts.","young boys dressed in shirts.","A dong pees on the rung.","contradiction"
"This man is wearing flip - flops.","This man is wearing a red helmet.","This man is driving a Spyder.","This man is wearing a red helmet.","A man driving a car to a dealer to have it tuned up.","neutral"
"horses make their way down the dusty hill.","riders make their way down the dusty hill.","Hikers make their way down the dusty hill.","horses make their way down the dusty hill.","Lots of people are out on the trail in the beautiful fall weather.","neutral"
"a large bus parked in front of a Toys R Us store.","A group of children in red t-shirts with white hearts sit beside a large bus.","white hearts printed on them.","A group of children in red t-shirts with white hearts sit beside a large bus.","A group of children sit in a circle on a rug to be read a story.","contradiction"
"one using a pair of binoculars.","Three hikers looking at the view.","Three hikers are sitting on a mountainside.","one using a pair of binoculars.","The hikers are sleeping.","contradiction"
"A man in jeans walks past a building with a large mouth with white teeth.","white teeth painted on it.","A man in a black shirt walks past a building with a large mouth with white teeth.","A man in jeans walks past a building with a large mouth with white teeth.","A man is walking down a street.","entailment"
"a red life jacket waterskiing in a blue lake.","A young man dressed in a red life jacket.","A young man dressed in blue swimming trunks.","A young man dressed in blue swimming trunks.","A young man goes ice skating.","contradiction"
"A strange looking man has a dog with purple hair.","A strange looking man has a dog with pink hair.","A strange looking man is wearing a head ornament.","A strange looking man is wearing a head ornament.","A woman is getting her hair styled.","contradiction"
"an athlete holding a ball.","an athlete wearing a medal.","Fans are cheering for an athlete.","an athlete holding a ball.","Fans eatting burgers","contradiction"
"A guy with sunglasses is asleep in his.","his head tilted towards the window.","A guy with long hair is asleep in his.","his head tilted towards the window.","The guy is singing along with the radio.","contradiction"
"a young girl are walking .","three women are walking .","A man are walking .","A man are walking .","A man with his family are going to the store.","neutral"
"a lady wearing a white headscarf.","a lady wearing a light blue dress.","A man dressed all in black talks with a lady.","a lady wearing a light blue dress.","The man is pushing a wheelbarrow on a tightrope.","contradiction"
"A man with a red piece of fabric is being escorted by a police officer.","a red piece of fabric hanging from her mouth.","A man with face makeup is being escorted by a police officer.","A man with face makeup is being escorted by a police officer.","A policeman is walking with someone.","entailment"
"A brown dog walks down a path in a forested area.","A black dog walks down a path in a forested area.","A white dog walks down a path in a forested area.","A brown dog walks down a path in a forested area.","The spotted dog is walking alone.","neutral"
"street vendors riffling through maps.","street vendors riffling through cards.","tourists look at merchandise on a street vendors display in England.","tourists look at merchandise on a street vendors display in England.","The vendors have nothing for sale.","contradiction"
"dog walk down a paved road.","woman walk down a paved road.","A man walk down a paved road.","dog walk down a paved road.","A couple walking the dog outside.","entailment"
"A little girl in a red headband holds onto a tree limb.","A little girl in a red sweater holds onto a tree limb.","A little girl sticks out her tongue.","A little girl in a red headband holds onto a tree limb.","Nobody is climbing","contradiction"
"A motocross biker is riding his red motorcycle.","A motocross biker is riding his yellow motorcycle.","A motocross biker is standing .","A motocross biker is riding his yellow motorcycle.","A person is riding around","entailment"
"A man facing a still water.","A man facing a cloudy sky.","A man sits on the edge of a dock with a fishing pole.","A man facing a cloudy sky.","The man is outdoors.","entailment"
"A small boy pose with a large Jelly Belly mascot.","a large Jelly Belly mascot sitting on a bench.","A man pose with a large Jelly Belly mascot.","A small boy pose with a large Jelly Belly mascot.","a dad and his son posed for  a picture.","neutral"
"A homeless - looking man is resting on a concrete floor between two blue pillars.","A homeless - looking man is resting on a concrete floor between two red pillars.","A homeless - looking man is lying down .","A homeless - looking man is resting on a concrete floor between two blue pillars.","A business executive is leading a board meeting.","contradiction"
"A woman with white apron is cooking .","A woman with a white shirt is cooking .","A woman with blond - hair is cooking .","A woman with a white shirt is cooking .","A fair complected woman is doing something.","neutral"
"a guitarist are pictured in this concert photo.","this concert photo performing one of their songs.","A lead singer are pictured in this concert photo.","A lead singer are pictured in this concert photo.","The violinist turns the page.","contradiction"
"a dog with brown coloring is leashed up to a mirror.","a dog with white coloring is leashed up to a mirror.","a dog with black coloring is leashed up to a mirror.","a dog with white coloring is leashed up to a mirror.","The dog is restrained by a leash.","entailment"
"black pants working on the engine of an old , green antique automobile , with a yellow gas canister.","a yellow gas canister sitting on the grass.","A male in a black shirt working on the engine of an old , green antique automobile , with a yellow gas canister.","a yellow gas canister sitting on the grass.","A man works on the engine of an antique car.","entailment"
"A group of people including a man are holding a piece of paper in front of a table with food.","A group of people including a lady are holding a piece of paper in front of a table with food.","A group of people including a nun are holding a piece of paper in front of a table with food.","A group of people including a man are holding a piece of paper in front of a table with food.","A group o fpeople are eating dinner","neutral"
"A young man with no shirt on is wearing sneakers.","A young man with no shirt on is jumping over a blue skateboard.","A young man with no shirt on is wearing black pants.","A young man with no shirt on is wearing sneakers.","a skater fails a maneuver","neutral"
"A woman with a white pants eating while standing in a crowd.","A woman with a blue top pants eating while standing in a crowd.","A woman with a white visor eating while standing in a crowd.","A woman with a blue top pants eating while standing in a crowd.","A woman is singing in front of others.","contradiction"
"the street carrying red flags.","the street carrying green flags.","A group of people is walking down the street.","A group of people is walking down the street.","A bunch of people are camping indoors.","contradiction"
"Two to be hugging in the snow.","Two appear .","Two dogs play .","Two appear .","Animals playing","entailment"
"A group of friends to bluff each other into making a terrible mistake.","friends trying to bluff each other into making a terrible mistake.","friends playing cards.","friends trying to bluff each other into making a terrible mistake.","The friends are playing cards while waiting to go out for the evening.","neutral"
"a gentleman in a brown coat are sitting at an outdoor table.","a black hat are sitting at an outdoor table.","A woman in a fur coat are sitting at an outdoor table.","a gentleman in a brown coat are sitting at an outdoor table.","A man and a woman are in a submarine.","contradiction"
"the person flying the kite are visible in the foreground.","the boat are visible in the foreground.","A kite is being flown next to a suspension bridge.","the boat are visible in the foreground.","The kite was a gift.","neutral"
"shipping containers create a roadway for the worker.","the worker driving the vehicle.","The dollies create a roadway for the worker.","shipping containers create a roadway for the worker.","A man is sitting inside an open shipping container.","contradiction"
"one wearing shin guards lay horizontally on logs with their backpacks in sight.","Two men lay horizontally on logs with their backpacks in sight.","one wearing a teal shirt.","Two men lay horizontally on logs with their backpacks in sight.","The other man is nude.","neutral"
"Several people , including a man in a woman are dancing at a party.","a woman wearing a scarf.","Several people , including a man in a green shirt are dancing at a party.","Several people , including a man in a woman are dancing at a party.","A group of people is not dancing.","contradiction"
"A bicyclist wearing blue spandex clothing in a race on the street.","A bicyclist wearing sunglasses in a race on the street.","A bicyclist wearing a red helmet in a race on the street.","A bicyclist wearing sunglasses in a race on the street.","A person is racing his friend on bikes.","neutral"
"Several children looking at white computers on a sunny day.","Several children looking at green computers on a sunny day.","Several children sit around a white table.","Several children looking at white computers on a sunny day.","The kids are playing duck duck goose in a field.","contradiction"
"Dog red wooden ramp.","Dog climbing over.","Dog climbing up.","Dog red wooden ramp.","The dog is dead.","contradiction"
"a counter crowded with bottles in the background.","a counter crowded with jars in the background.","An older woman stir fries vegetables in a home kitchen.","An older woman stir fries vegetables in a home kitchen.","A woman is watching television on the couch.","contradiction"
"the big brown dog is drinking the water.","water is pouring out.","A little girl is holding up a yellow water hose.","the big brown dog is drinking the water.","A kid is playing with her dog.","neutral"
"a large amount of people to be celebrating .","a large amount of people appear .","a large amount of people have gathered .","a large amount of people have gathered .","The is a crowd of people.","entailment"
"a striped shirt standing in the cleared road.","A street blocked guarded with one man in a striped shirt.","A street blocked off .","A street blocked off .","On sectioned off road and held off a man with a shirt in the road","neutral"
"a village holding a piece of papers.","a village holding a piece of cloth.","A child stands on a hill above a village.","a village holding a piece of papers.","The child is outdoors.","entailment"
"a canoe are in the background.","a man are in the background.","A tent rests on the shore.","a man are in the background.","The tent was improperly staked and is now flying in the air.","contradiction"
"a crowd full of people closed in a sleeping position.","people posing with their eyes.","A small boy grins in a crowd full of people.","people posing with their eyes.","Nobody is grinning.","contradiction"
"A man looks out at forests.","A man looks out at mountains.","A man stands on snow.","A man looks out at mountains.","A man is mountain climbing.","neutral"
"A group of women eating .","men drinking .","A group of men eating .","A group of men eating .","They are all drinking water.","neutral"
"Workers kneel on the ground near a white barricades.","Workers kneel on the ground near a red barricades.","Workers kneel on the ground near a yellow truck.","Workers kneel on the ground near a white barricades.","Workers are kneeling.","entailment"
"a guy holding his nose.","A wide eyed guy in a blue jacket is standing next to a guy.","A wide eyed guy in a blue jacket is holding a beer.","a guy holding his nose.","The attractive man in the blue jacket is drinking a beer.","neutral"
"Three people in gloves walk on a rocky path.","a rocky path partially covered with snow.","Three people in jackets walk on a rocky path.","a rocky path partially covered with snow.","The people are ready to go swimming.","contradiction"
"a woman holding a shovel.","a woman sweeping .","A woman sitting .","a woman sweeping .","Lady at work","entailment"
"Woman sitting on holding the leash of a large brown dog.","Woman sitting on holding the leash of a large white dog.","Woman sitting on bench.","Woman sitting on bench.","There are two large dogs on the beach.","entailment"
"a purple bike wearing a red helmet.","a purple bike wearing a blue helmet.","A woman in purple is on a purple bike.","A woman in purple is on a purple bike.","The woman is wearing multiple colors.","entailment"
"a man leaning over a balcony.","a car looking up at a man.","A woman standing outside next to a car.","A woman standing outside next to a car.","A woman speaks to her boyfriend while he leans down to speak to her.","neutral"
"African american child with colorful balls in a brown jacket looks toward the camera.","African american child with colorful balls in a pink jacket looks toward the camera.","African american child with colorful balls in her hair looks toward the camera.","African american child with colorful balls in a brown jacket looks toward the camera.","The child is dancing in the street.","contradiction"
"women dressed in costumes.","costumes sitting on a bail of hey.","Man dressed in costumes.","women dressed in costumes.","the people are swimming","contradiction"
"sunglasses is standing by a brick wall.","suit is standing by a brick wall.","An African American man in a tan hat is standing by a brick wall.","An African American man in a tan hat is standing by a brick wall.","the man is a governor","neutral"
"a young man wearing a black shirt.","a young man wearing a gray shirt.","a young man wearing a white headband.","a young man wearing a black shirt.","A young women wearing a dress and heels.","contradiction"
"A young man in his mid twenties is kicking his left foot about two feet off the leaf covered ground , with trees in the background.","A young man in his mid twenties is kicking his left foot about two feet off the leaf covered ground , with green plants in the background.","A young man in his mid twenties is kicking his left foot about two feet off the leaf covered ground , with paved asphalt in the background.","A young man in his mid twenties is kicking his left foot about two feet off the leaf covered ground , with paved asphalt in the background.","someone in his twenties kicks at the ground","entailment"
"Group of young people standing on the sidewalk.","Group of young people sitting .","Group of young people walking .","Group of young people sitting .","They are hiding from the rain.","contradiction"
"blue gloves working with specimens under a clean hood in a laboratory.","A woman is supervising another woman in blue gloves.","A woman is standing behind.","A woman is standing behind.","The women are in the lab.","entailment"
"Beautiful asian girl wears a white striped dress with thigh high boots.","thigh high boots seated in a clothing store.","Beautiful asian girl wears a blue striped dress with thigh high boots.","Beautiful asian girl wears a white striped dress with thigh high boots.","A girl sits in a clothing store while her friend tries on a dress.","neutral"
"An construction worker in a lime - green orange hard hat is looking closely at something.","something held in his hands.","An construction worker in a lime - green safety vest is looking closely at something.","something held in his hands.","A construction worker is watching TV.","contradiction"
"A couple sits on a ledge to the left of a large tower of blue cotton candy.","A couple sits on a ledge to the left of a large tower of purple cotton candy.","A couple sits on a ledge to the left of a large tower of pink cotton candy.","A couple sits on a ledge to the left of a large tower of pink cotton candy.","Two people are sitting on a ledge near cotton candy.","entailment"
"woman are sitting on wooden steps.","wooden steps holding a baby.","The man are sitting on wooden steps.","The man are sitting on wooden steps.","Two people and a baby are on steps.","entailment"
"Street musicians playing drums.","Street musicians playing on a tiled floor.","Street musicians playing two guitars.","Street musicians playing drums.","Street musicians perform at an outdoor mall.","neutral"
"an orange wristband in front of a large speaker.","A man stands next to another man in blue with an orange.","A man in blue holds a microphone.","A man in blue holds a microphone.","Two men wearing red pants and purple shirts stand on the stage by the podium.","contradiction"
"gray tank top is smiling .","earring is smiling .","A woman with a multicolored Mohawk is smiling .","A woman with a multicolored Mohawk is smiling .","The woman is happy.","neutral"
"she is carrying a mannequin.","a street talking on the phone.","A woman walking on a street.","A woman walking on a street.","There is a woman walking down a road with her hands full.","entailment"
"woman are at the ruins.","the ruins reading a guidebook.","A man are at the ruins.","woman are at the ruins.","The man and woman are eating lunch.","contradiction"
"The football players in red are attempting a play against those in gold.","The football players in red are attempting a play against those in white.","The football players in red are attempting a play against those in purple.","The football players in red are attempting a play against those in gold.","The football teams are playing a game against each other.","entailment"
"A man hangs on to a strand of cloth with his teeth while standing on a platform by a river.","A man hangs on to a strand of cloth with his fingers while standing on a platform by a river.","A man hangs on to a strand of cloth with his big toe while standing on a platform by a river.","A man hangs on to a strand of cloth with his teeth while standing on a platform by a river.","A man is using his hands, foot, and teeth to hold some cloth.","entailment"
"a balcony overlooking the buildings below.","a balcony overlooking the street.","Two men sit on a balcony.","a balcony overlooking the street.","A dictator is slaughtering millions.","contradiction"
"A runner in a black running suit stands at his mark prepared to run a race.","A runner in a yellow running suit stands at his mark prepared to run a race.","A runner in black running shoes stands at his mark prepared to run a race.","A runner in a black running suit stands at his mark prepared to run a race.","The man is on a bicycle.","contradiction"
"trees surrounding a white house in the background.","trees surrounding it in the background.","Lots of people are standing on a field with trees.","trees surrounding it in the background.","A crowd of protesters stand on a field.","neutral"
"Men looking at a white race car.","Men looking at a red race car.","Men are standing around.","Men looking at a red race car.","A group of men and women chat over afternoon tea.","contradiction"
"one wearing shin guards lay horizontally on logs with their backpacks in sight.","Two men lay horizontally on logs with their backpacks in sight.","one wearing a teal shirt.","Two men lay horizontally on logs with their backpacks in sight.","A man is wearing a shirt.","entailment"
"A man in a woman in red sit at a table eating together.","A man in a woman in black sit at a table eating together.","A man in a black shirt at a table eating together.","A man in a woman in red sit at a table eating together.","the woman is on a date.","neutral"
"a man in white shorts are jogging down the street.","a man in a red shirt are jogging down the street.","a man in black are jogging down the street.","a man in white shorts are jogging down the street.","Two men are in the street","entailment"
"citizens wander past a row of a kneeling woman repairs shoes for a customer In a foreign village.","citizens wander past a row of bicycles In a foreign village.","citizens wander through the market for a customer In a foreign village.","citizens wander past a row of bicycles In a foreign village.","It is a sunny day at the market.","neutral"
"area surrounded by trees.","a grassy fenced in area.","Two dogs running in a grassy.","area surrounded by trees.","Two animals in a fence.","entailment"
"Man wearing a headphones.","Man wearing a eyeglasses.","Man wearing a baseball cap.","Man wearing a headphones.","a man getting ready for work","contradiction"
"she is carrying a mannequin.","a street talking on the phone.","A woman walking on a street.","she is carrying a mannequin.","The woman is outside","entailment"
"a toy helicopter sits in a chair.","A man in a silly hat sits in a chair.","a silly hat holding a wand.","a toy helicopter sits in a chair.","A man is dressed professionally and writing a novel.","contradiction"
"a beach covered in stacked sticks.","a beach covered in stacked logs.","Some men are sitting on a boat near a beach.","a beach covered in stacked logs.","Two people are standing in a field.","contradiction"
"An Asian woman selling wallets.","An Asian woman selling bags.","An Asian woman selling silk scarfs.","An Asian woman selling silk scarfs.","The woman has many customers.","neutral"
"a woman are on an escalator.","an escalator looking at one another.","A man are on an escalator.","A man are on an escalator.","Two people are on an escalator.","entailment"
"Eleven children laughing .","Eleven children holding up something.","Eleven children sitting together .","Eleven children laughing .","The children are holding up toys.","neutral"
"A band is performing consisting of one drummer.","A band is performing consisting of one singer.","A band is performing consisting of one guitarist.","A band is performing consisting of one singer.","There is a group of people playing rock music.","neutral"
"a chain linked fence.","A young boy looking toward a chain.","A young boy is sitting along side of a building.","a chain linked fence.","The boy is sitting in a big field.","contradiction"
"a man are standing in front of bushes.","bushes wearing sunglasses.","A woman are standing in front of bushes.","a man are standing in front of bushes.","The people are jumping in the house.","contradiction"
